uid,age,brand,car_type,fuel,id,mileage,mileage_per_year,name,power,price_model,price_usd_est,price_usd_final,source,source_file,trans,year,price_per_hp,price_per_mile
14,10.0,Maruti,Other,Petrol,14.0,24000.0,2400.0,Maruti Ciaz VXi Plus,542.0,0.49,61267.00176000001,61267.00176000001,main,cars_with_price_est_20k.csv,Manual,2015.0,113.03874863468636,2.5527917400000004
15,6.0,Hyundai,Other,Diesel,15.0,5000.0,833.3333333333334,Hyundai Venue SX Opt Diesel,542.0,0.49,90217.224,90217.224,main,cars_with_price_est_20k.csv,Manual,2019.0,166.45244280442805,18.0434448
16,12.0,Chevrolet,Other,Diesel,16.0,33000.0,2750.0,Chevrolet Enjoy TCDi LTZ 7 Seater,542.0,0.49,63453.8736,63453.8736,main,cars_with_price_est_20k.csv,Manual,2013.0,117.07356752767528,1.9228446545454545
17,11.0,Jaguar,Other,Diesel,17.0,28000.0,2545.454545454545,Jaguar XF 2.2 Litre Luxury,542.0,0.49,115254.67968,115254.67968,main,cars_with_price_est_20k.csv,Automatic,2014.0,212.6470104797048,4.11623856
18,12.0,Mercedes-Benz,Sedan,Diesel,18.0,59000.0,4916.666666666667,Mercedes-Benz New C-Class 220 CDI AT,542.0,0.49,102775.28976,102775.28976,main,cars_with_price_est_20k.csv,Automatic,2013.0,189.6223058302583,1.7419540637288136
19,7.0,Maruti,Other,Diesel,19.0,4500.0,642.8571428571429,Maruti Vitara Brezza ZDi Plus AMT,542.0,0.49,73413.94103999999,73413.94103999999,main,cars_with_price_est_20k.csv,Automatic,2018.0,135.4500757195572,16.314209119999997
20,14.0,Audi,SUV,Diesel,20.0,175900.0,12564.285714285714,Audi Q5 2.0 TDI,542.0,0.49,70466.08392,70466.08392,main,cars_with_price_est_20k.csv,Automatic,2011.0,130.01122494464946,0.4006030922114838
21,7.0,Honda,Other,Petrol,21.0,14500.0,2071.428571428572,Honda City V MT,542.0,0.49,84877.2144,84877.2144,main,cars_with_price_est_20k.csv,Manual,2018.0,156.6000265682657,5.8536009931034485
22,7.0,Tata,Other,Petrol,22.0,15000.0,2142.8571428571427,Tata Tigor 1.2 Revotron XT,542.0,0.49,72082.21680000001,72082.21680000001,main,cars_with_price_est_20k.csv,Manual,2018.0,132.99301992619928,4.8054811200000005
23,12.0,Audi,Other,Diesel,23.0,50000.0,4166.666666666667,Audi A6 2.0 TDI Design Edition,542.0,0.49,104539.392,104539.392,main,cars_with_price_est_20k.csv,Automatic,2013.0,192.87710701107014,2.09078784
24,13.0,Mercedes-Benz,Wagon,Diesel,24.0,33800.0,2600.0,Mercedes-Benz New C-Class C 220 CDI Avantgarde,542.0,0.49,101378.612736,101378.612736,main,cars_with_price_est_20k.csv,Automatic,2012.0,187.0454109520295,2.999367240710059
25,14.0,Skoda,Other,Diesel,25.0,130400.0,9314.285714285714,Skoda Superb Ambition 2.0 TDI CR AT,542.0,0.49,46079.6256,46079.6256,main,cars_with_price_est_20k.csv,Automatic,2011.0,85.01775940959409,0.3533713619631902
26,9.0,Toyota,Other,Petrol,26.0,50000.0,5555.555555555556,Toyota Corolla Altis G AT,542.0,0.49,72345.59999999999,72345.59999999999,main,cars_with_price_est_20k.csv,Automatic,2016.0,133.47896678966788,1.4469119999999998
27,10.0,Toyota,Other,Diesel,27.0,80000.0,8000.0,Toyota Innova 2.5 G (Diesel) 7 Seater,542.0,0.49,64862.352,64862.352,main,cars_with_price_est_20k.csv,Manual,2015.0,119.67223616236163,0.8107794
28,6.0,Jeep,Other,Petrol,28.0,10000.0,1666.6666666666667,Jeep Compass 1.4 Sport Plus BSIV,542.0,0.49,89437.24799999999,89437.24799999999,main,cars_with_price_est_20k.csv,Manual,2019.0,165.01337269372692,8.9437248
29,15.0,Mercedes-Benz,Sedan,Petrol,29.0,119000.0,7933.333333333333,Mercedes-Benz E-Class E 200 CGI Elegance,542.0,0.49,74953.20672,74953.20672,main,cars_with_price_est_20k.csv,Automatic,2010.0,138.290049298893,0.62985888
30,11.0,Hyundai,Other,Petrol,30.0,60000.0,5454.545454545455,Hyundai i10 Magna 1.1L,542.0,0.49,63890.208,63890.208,main,cars_with_price_est_20k.csv,Manual,2014.0,117.87861254612545,1.0648368
31,12.0,BMW,Sedan,Diesel,31.0,75800.0,6316.666666666667,BMW 3 Series 320d Sport Line,542.0,0.49,61444.949328,61444.949328,main,cars_with_price_est_20k.csv,Automatic,2013.0,113.3670651808118,0.8106193842744064
32,16.0,Audi,Other,Diesel,32.0,78000.0,4875.0,Audi Q7 35 TDI Quattro Premium,542.0,0.49,78075.552384,78075.552384,main,cars_with_price_est_20k.csv,Automatic,2009.0,144.05083465682657,1.0009686203076922
33,13.0,Hyundai,Other,Diesel,33.0,40000.0,3076.923076923077,Hyundai Elantra CRDi S,542.0,0.49,58961.664,58961.664,main,cars_with_price_est_20k.csv,Manual,2012.0,108.78535793357933,1.4740415999999998
34,11.0,Mahindra,Other,Diesel,34.0,50000.0,4545.454545454545,Mahindra Scorpio 1.99 S10,542.0,0.49,55344.38399999999,55344.38399999999,main,cars_with_price_est_20k.csv,Manual,2014.0,102.11140959409592,1.1068876799999998
35,11.0,Honda,Other,Diesel,35.0,74000.0,6727.272727272727,Honda City i DTEC V,542.0,0.49,62181.0432,62181.0432,main,cars_with_price_est_20k.csv,Manual,2014.0,114.72517195571956,0.8402843675675675
36,11.0,Maruti,Wagon,Petrol,36.0,64000.0,5818.181818181818,Maruti Wagon R VXI BS IV with ABS,542.0,0.49,53891.59392,53891.59392,main,cars_with_price_est_20k.csv,Manual,2014.0,99.43098509225092,0.842056155
37,13.0,Maruti,Wagon,Petrol,37.0,60000.0,4615.384615384615,Maruti Wagon R VXI BS IV,542.0,0.49,48272.6016,48272.6016,main,cars_with_price_est_20k.csv,Manual,2012.0,89.0638405904059,0.80454336
38,16.0,Mahindra,Other,Diesel,38.0,120000.0,7500.0,Mahindra Scorpio LX,542.0,0.49,35793.21168,35793.21168,main,cars_with_price_est_20k.csv,Manual,2009.0,66.03913594095941,0.298276764
39,16.0,Hyundai,Other,Petrol,39.0,79000.0,4937.5,Hyundai Santro Xing GLS,542.0,0.49,45835.91136,45835.91136,main,cars_with_price_est_20k.csv,Manual,2009.0,84.5681021402214,0.5802014096202531
40,6.0,Hyundai,Other,Petrol,40.0,15000.0,2500.0,Hyundai Grand i10 1.2 Kappa Asta,542.0,0.49,88657.27200000001,88657.27200000001,main,cars_with_price_est_20k.csv,Manual,2019.0,163.57430258302585,5.910484800000001
41,19.0,Maruti,Other,Petrol,41.0,80000.0,4210.526315789473,Maruti Alto LXi,542.0,0.49,33660.14688,33660.14688,main,cars_with_price_est_20k.csv,Manual,2006.0,62.10359202952029,0.420751836
42,8.0,Maruti,Hatchback,Diesel,42.0,18500.0,2312.5,Maruti Swift Dzire VDI Optional,542.0,0.49,68382.02196000001,68382.02196000001,main,cars_with_price_est_20k.csv,Manual,2017.0,126.1660921771218,3.6963255113513522
43,7.0,Maruti,Other,Petrol,43.0,10200.0,1457.142857142857,Maruti Eeco 5 Seater AC BSIV,542.0,0.49,72691.005024,72691.005024,main,cars_with_price_est_20k.csv,Manual,2018.0,134.1162454317343,7.12656912
44,7.0,Hyundai,Hatchback,Diesel,44.0,29000.0,4142.857142857143,Hyundai i20 Sportz 1.4 CRDi,542.0,0.49,82713.6288,82713.6288,main,cars_with_price_est_20k.csv,Manual,2018.0,152.6081712177122,2.8521940965517243
45,7.0,Maruti,Other,Petrol,45.0,28000.0,4000.0,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,542.0,0.49,70433.41536,70433.41536,main,cars_with_price_est_20k.csv,Manual,2018.0,129.9509508487085,2.51547912
46,9.0,Maruti,Hatchback,Diesel,46.0,46000.0,5111.111111111111,Maruti Swift ZDi BSIV,542.0,0.49,61954.96319999999,61954.96319999999,main,cars_with_price_est_20k.csv,Manual,2016.0,114.30805018450182,1.3468470260869563
47,11.0,Hyundai,Hatchback,Diesel,47.0,70000.0,6363.636363636364,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,542.0,0.49,62669.376,62669.376,main,cars_with_price_est_20k.csv,Manual,2014.0,115.6261549815498,0.8952768
48,29.0,Mahindra,Other,Diesel,49.0,35000.0,1206.896551724138,Mahindra Jeep CL 500 MDI,542.0,0.49,17702.516159999996,17702.516159999996,main,cars_with_price_est_20k.csv,Manual,1996.0,32.66146892988929,0.5057861759999999
49,11.0,Honda,Other,Diesel,50.0,90000.0,8181.818181818182,Honda City i DTEC VX,542.0,0.49,60227.712,60227.712,main,cars_with_price_est_20k.csv,Manual,2014.0,111.12123985239852,0.6691968
50,12.0,Maruti,Wagon,Petrol,51.0,80000.0,6666.666666666667,Maruti Wagon R VXI BS IV,542.0,0.49,49329.52559999999,49329.52559999999,main,cars_with_price_est_20k.csv,Manual,2013.0,91.0138848708487,0.6166190699999999
51,20.0,Tata,Other,Diesel,52.0,80000.0,4000.0,Tata Indica DLS,542.0,0.49,31919.1048,31919.1048,main,cars_with_price_est_20k.csv,Manual,2005.0,58.8913372693727,0.39898881
52,11.0,Hyundai,Other,Petrol,53.0,73300.0,6663.636363636364,Hyundai EON Magna Plus,542.0,0.49,62266.50144,62266.50144,main,cars_with_price_est_20k.csv,Manual,2014.0,114.88284398523986,0.8494747809004093
53,11.0,Toyota,Other,Diesel,54.0,92000.0,8363.636363636364,Toyota Etios GD,542.0,0.49,59983.5456,59983.5456,main,cars_with_price_est_20k.csv,Manual,2014.0,110.6707483394834,0.6519950608695652
54,16.0,Maruti,Other,Petrol,55.0,66764.0,4172.75,Maruti Alto LXi,542.0,0.49,39905.77445049599,39905.77445049599,main,cars_with_price_est_20k.csv,Manual,2009.0,73.6268901300664,0.5977139543840392
55,16.0,Maruti,Other,Petrol,56.0,100000.0,6250.0,Maruti Alto LXi,542.0,0.49,37338.2424,37338.2424,main,cars_with_price_est_20k.csv,Manual,2009.0,68.88974612546126,0.37338242400000005
56,15.0,Chevrolet,Other,Diesel,57.0,350000.0,23333.33333333333,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,542.0,0.49,31651.200000000004,31651.200000000004,main,cars_with_price_est_20k.csv,Manual,2010.0,58.39704797047971,0.09043200000000001
57,14.0,Toyota,Other,Diesel,58.0,230000.0,16428.571428571428,Toyota Corolla Altis Diesel D4DG,542.0,0.49,35946.72,35946.72,main,cars_with_price_est_20k.csv,Manual,2011.0,66.32236162361623,0.15629008695652175
58,8.0,Mahindra,Other,Diesel,59.0,60000.0,7500.0,Mahindra Scorpio 1.99 S6 Plus,542.0,0.49,63357.7896,63357.7896,main,cars_with_price_est_20k.csv,Manual,2017.0,116.89629077490774,1.05596316
59,7.0,Hyundai,Other,Petrol,60.0,31000.0,4428.571428571428,Hyundai EON Magna Plus,542.0,0.49,82415.2032,82415.2032,main,cars_with_price_est_20k.csv,Manual,2018.0,152.0575704797048,2.658554941935484
60,18.0,Tata,Other,Diesel,61.0,39000.0,2166.6666666666665,Tata Indigo Classic Dicor,542.0,0.49,38284.86196799999,38284.86196799999,main,cars_with_price_est_20k.csv,Manual,2007.0,70.63627669372691,0.9816631273846151
61,16.0,Toyota,Other,Diesel,62.0,120000.0,7500.0,Toyota Innova 2.5 V Diesel 8-seater,542.0,0.49,42109.6608,42109.6608,main,cars_with_price_est_20k.csv,Manual,2009.0,77.69310110701106,0.35091384
62,11.0,Tata,Other,Diesel,63.0,166000.0,15090.90909090909,Tata Indica Vista Quadrajet LS,542.0,0.49,43306.980480000006,43306.980480000006,main,cars_with_price_est_20k.csv,Manual,2014.0,79.90217800738009,0.26088542457831326
63,19.0,Maruti,Hatchback,Petrol,64.0,110000.0,5789.473684210527,Maruti Swift 1.3 VXi,542.0,0.49,31653.91296,31653.91296,main,cars_with_price_est_20k.csv,Manual,2006.0,58.40205343173432,0.2877628450909091
64,8.0,Ford,Other,Diesel,65.0,35000.0,4375.0,Ford EcoSport 1.5 Diesel Titanium BSIV,542.0,0.49,78099.336,78099.336,main,cars_with_price_est_20k.csv,Manual,2017.0,144.09471586715867,2.2314095999999997
65,7.0,Maruti,Other,Diesel,66.0,60000.0,8571.42857142857,Maruti Ciaz 1.3 Delta,542.0,0.49,66374.82719999999,66374.82719999999,main,cars_with_price_est_20k.csv,Manual,2018.0,122.46278081180809,1.1062471199999997
66,18.0,Honda,Sedan,Petrol,67.0,54000.0,3000.0,Honda Civic 1.8 V AT,542.0,0.49,43799.83488,43799.83488,main,cars_with_price_est_20k.csv,Automatic,2007.0,80.8115034686347,0.8111080533333334
67,15.0,Hyundai,Other,Petrol,68.0,63000.0,4200.0,Hyundai i10 Sportz 1.2,542.0,0.49,49407.5232,49407.5232,main,cars_with_price_est_20k.csv,Manual,2010.0,91.15779188191883,0.7842464
68,11.0,Skoda,Other,Diesel,69.0,120000.0,10909.09090909091,Skoda Rapid 1.5 TDI Elegance,542.0,0.49,56565.216,56565.216,main,cars_with_price_est_20k.csv,Manual,2014.0,104.36386715867158,0.4713768
69,20.0,Hyundai,Other,Petrol,70.0,120000.0,6000.0,Hyundai Getz GLS,542.0,0.49,34567.632,34567.632,main,cars_with_price_est_20k.csv,Manual,2005.0,63.77791881918819,0.2880636
70,11.0,Nissan,Other,Petrol,71.0,76000.0,6909.090909090909,Nissan Terrano XL,542.0,0.49,61936.87679999999,61936.87679999999,main,cars_with_price_est_20k.csv,Manual,2014.0,114.27468044280441,0.8149589052631577
71,10.0,Hyundai,Other,Diesel,72.0,80000.0,8000.0,Hyundai Grand i10 CRDi Sportz,542.0,0.49,64862.352,64862.352,main,cars_with_price_est_20k.csv,Manual,2015.0,119.67223616236163,0.8107794
72,6.0,Hyundai,Hatchback,Diesel,73.0,25000.0,4166.666666666667,Hyundai Elite i20 Diesel Era,542.0,0.49,87097.32,87097.32,main,cars_with_price_est_20k.csv,Manual,2019.0,160.69616236162364,3.4838928000000005
73,9.0,Honda,Other,Petrol,74.0,11958.0,1328.6666666666667,Honda Amaze S i-VTEC,542.0,0.49,77505.921216,77505.921216,main,cars_with_price_est_20k.csv,Manual,2016.0,142.99985464206642,6.481512060210738
74,10.0,Honda,Other,Petrol,75.0,20000.0,2000.0,Honda Brio S MT,542.0,0.49,72594.288,72594.288,main,cars_with_price_est_20k.csv,Manual,2015.0,133.93780073800738,3.6297144
75,8.0,Hyundai,Other,Petrol,76.0,9000.0,1125.0,Hyundai Creta 1.6 SX Option,542.0,0.49,81802.5264,81802.5264,main,cars_with_price_est_20k.csv,Manual,2017.0,150.9271704797048,9.0891696
76,8.0,Mercedes-Benz,Other,Diesel,77.0,6500.0,812.5,Mercedes-Benz S-Class S 350d Connoisseurs Edition,542.0,0.49,139669.62407999998,139669.62407999998,main,cars_with_price_est_20k.csv,Automatic,2017.0,257.69303335793353,21.48763447384615
77,10.0,Mahindra,Other,Diesel,78.0,70000.0,7000.0,Mahindra XUV500 W8 2WD,542.0,0.49,56228.3568,56228.3568,main,cars_with_price_est_20k.csv,Manual,2015.0,103.7423557195572,0.80326224
78,12.0,Renault,Other,Diesel,79.0,120000.0,10000.0,Renault Duster 85PS Diesel RxL Optional,542.0,0.49,53422.704000000005,53422.704000000005,main,cars_with_price_est_20k.csv,Manual,2013.0,98.56587453874539,0.44518920000000006
79,18.0,Hyundai,Other,Petrol,80.0,58000.0,3222.222222222222,Hyundai Santro Xing XO,542.0,0.49,43468.85376,43468.85376,main,cars_with_price_est_20k.csv,Manual,2007.0,80.20083719557195,0.7494629958620689
80,12.0,Mahindra,Other,Diesel,81.0,62200.0,5183.333333333333,Mahindra Bolero 2011-2019 SLE,542.0,0.49,51074.026704,51074.026704,main,cars_with_price_est_20k.csv,Manual,2013.0,94.23252159409594,0.8211258312540194
81,11.0,Audi,Other,Diesel,82.0,34000.0,3090.909090909091,Audi A6 2.0 TDI Premium Plus,542.0,0.49,114009.43104,114009.43104,main,cars_with_price_est_20k.csv,Automatic,2014.0,210.34950376383762,3.3532185599999997
82,10.0,Fiat,Other,Diesel,83.0,53000.0,5300.0,Fiat Avventura MULTIJET Emotion,542.0,0.49,58090.46472,58090.46472,main,cars_with_price_est_20k.csv,Manual,2015.0,107.17797918819188,1.0960465041509435
83,12.0,Audi,Other,Diesel,84.0,49000.0,4083.3333333333335,Audi A8 4.2 TDI,542.0,0.49,104735.40336,104735.40336,main,cars_with_price_est_20k.csv,Automatic,2013.0,193.23875158671586,2.1374572114285715
84,8.0,Datsun,Other,Petrol,85.0,15000.0,1875.0,Datsun RediGO 1.0 S,542.0,0.49,84995.34120000001,84995.34120000001,main,cars_with_price_est_20k.csv,Manual,2017.0,156.81797269372694,5.666356080000001
85,12.0,Volkswagen,Other,Petrol,86.0,50000.0,4166.666666666667,Volkswagen Jetta 1.4 TSI Comfortline,542.0,0.49,61493.76,61493.76,main,cars_with_price_est_20k.csv,Manual,2013.0,113.45712177121771,1.2298752
86,12.0,Audi,Sedan,Diesel,87.0,53000.0,4416.666666666667,Audi A4 2.0 TDI 177 Bhp Premium Plus,542.0,0.49,103951.35792,103951.35792,main,cars_with_price_est_20k.csv,Automatic,2013.0,191.79217328413284,1.9613463758490566
87,16.0,Honda,Sedan,Petrol,88.0,63500.0,3968.75,Honda Civic 1.8 V AT,542.0,0.49,47244.61584,47244.61584,main,cars_with_price_est_20k.csv,Automatic,2009.0,87.16718789667897,0.7440096982677166
88,7.0,Mercedes-Benz,Sedan,Petrol,89.0,9800.0,1400.0,Mercedes-Benz E-Class Exclusive E 200 BSIV,542.0,0.49,145483.47475199998,145483.47475199998,main,cars_with_price_est_20k.csv,Automatic,2018.0,268.4196951143911,14.845252525714283
89,8.0,BMW,Other,Diesel,90.0,13000.0,1625.0,BMW X1 sDrive 20d xLine,542.0,0.49,85294.44503999999,85294.44503999999,main,cars_with_price_est_20k.csv,Automatic,2017.0,157.36982479704795,6.561111156923077
90,7.0,Volvo,Other,Diesel,91.0,21000.0,3000.0,Volvo V40 D3 R Design,542.0,0.49,142642.46304,142642.46304,main,cars_with_price_est_20k.csv,Automatic,2018.0,263.1779760885609,6.7924982400000005
91,17.0,Maruti,Other,Petrol,92.0,29173.0,1716.0588235294117,Maruti SX4 Zxi BSIII,542.0,0.49,40892.883047424,40892.883047424,main,cars_with_price_est_20k.csv,Manual,2008.0,75.44812370373432,1.401737327234909
92,13.0,BMW,Other,Diesel,93.0,48000.0,3692.307692307693,BMW 7 Series 730Ld,542.0,0.49,60998.19264,60998.19264,main,cars_with_price_est_20k.csv,Automatic,2012.0,112.54279084870849,1.27079568
93,8.0,Mahindra,Other,Diesel,94.0,120000.0,15000.0,Mahindra Bolero Power Plus SLX,542.0,0.49,56093.8392,56093.8392,main,cars_with_price_est_20k.csv,Manual,2017.0,103.49416826568266,0.46744866
94,15.0,Hyundai,Other,Diesel,95.0,100000.0,6666.666666666667,Hyundai Sonata CRDi M/T,542.0,0.49,45894.24,45894.24,main,cars_with_price_est_20k.csv,Manual,2010.0,84.67571955719556,0.4589424
95,8.0,Nissan,Other,Petrol,96.0,30000.0,3750.0,Nissan Micra Active XV Petrol,542.0,0.49,78811.488,78811.488,main,cars_with_price_est_20k.csv,Manual,2017.0,145.40864944649445,2.6270496
96,7.0,Mahindra,Other,Diesel,97.0,87000.0,12428.57142857143,Mahindra Xylo D4,542.0,0.49,62950.39344000001,62950.39344000001,main,cars_with_price_est_20k.csv,Manual,2018.0,116.14463734317344,0.7235677406896552
97,8.0,Renault,Other,Petrol,99.0,16000.0,2000.0,Renault KWID RXT,542.0,0.49,80805.51359999999,80805.51359999999,main,cars_with_price_est_20k.csv,Manual,2017.0,149.08766346863467,5.0503446
98,13.0,Mahindra,Other,Diesel,100.0,60000.0,4615.384615384615,Mahindra Xylo E4 BS III,542.0,0.49,48272.6016,48272.6016,main,cars_with_price_est_20k.csv,Manual,2012.0,89.0638405904059,0.80454336
99,15.0,Maruti,Wagon,Petrol,101.0,60000.0,4000.0,Maruti Wagon R LXI Minor,542.0,0.49,42238.5264,42238.5264,main,cars_with_price_est_20k.csv,Manual,2010.0,77.93086051660516,0.70397544
100,14.0,Maruti,Other,Petrol,102.0,110000.0,7857.142857142857,Maruti SX4 ZXI MT BSIV,542.0,0.49,40931.784,40931.784,main,cars_with_price_est_20k.csv,Manual,2011.0,75.51989667896679,0.37210712727272727
101,8.0,Renault,Other,Petrol,103.0,25000.0,3125.0,Renault KWID RXT,542.0,0.49,79523.64000000001,79523.64000000001,main,cars_with_price_est_20k.csv,Manual,2017.0,146.7225830258303,3.1809456000000007
102,9.0,Hyundai,Other,Diesel,104.0,60000.0,6666.666666666667,Hyundai Creta 1.4 CRDi S,542.0,0.49,70989.12,70989.12,main,cars_with_price_est_20k.csv,Manual,2016.0,130.9762361623616,1.183152
103,11.0,Maruti,Hatchback,Diesel,105.0,79350.0,7213.636363636364,Maruti Swift Dzire VDI,542.0,0.49,52298.713368,52298.713368,main,cars_with_price_est_20k.csv,Manual,2014.0,96.49209108487085,0.6590890153497164
104,9.0,Hyundai,Other,Petrol,106.0,80000.0,8888.888888888889,Hyundai Verna 1.6 VTVT AT S Option,542.0,0.49,68276.16,68276.16,main,cars_with_price_est_20k.csv,Automatic,2016.0,125.97077490774909,0.853452
105,11.0,Mahindra,Other,Diesel,107.0,90000.0,8181.818181818182,Mahindra Scorpio LX BSIV,542.0,0.49,51193.5552,51193.5552,main,cars_with_price_est_20k.csv,Manual,2014.0,94.45305387453875,0.56881728
106,18.0,Maruti,Other,Petrol,108.0,90000.0,5000.0,Maruti SX4 Vxi BSIII,542.0,0.49,34697.854080000005,34697.854080000005,main,cars_with_price_est_20k.csv,Manual,2007.0,64.0181809594096,0.385531712
107,11.0,Maruti,Other,Diesel,109.0,120000.0,10909.09090909091,Maruti Ertiga VDI,542.0,0.49,48080.4336,48080.4336,main,cars_with_price_est_20k.csv,Manual,2014.0,88.70928708487084,0.40067028
108,12.0,Chevrolet,Other,Diesel,110.0,60000.0,5000.0,Chevrolet Beat Diesel,542.0,0.49,60340.752,60340.752,main,cars_with_price_est_20k.csv,Manual,2013.0,111.32980073800738,1.0056792
109,21.0,Maruti,Other,Petrol,111.0,50000.0,2380.9523809523807,Maruti Zen LX,542.0,0.49,31976.7552,31976.7552,main,cars_with_price_est_20k.csv,Manual,2004.0,58.99770332103321,0.639535104
110,7.0,Maruti,Other,Petrol,112.0,20000.0,2857.1428571428573,Maruti Baleno Delta 1.2,542.0,0.49,71448.0624,71448.0624,main,cars_with_price_est_20k.csv,Manual,2018.0,131.82299335793357,3.5724031199999997
111,18.0,Maruti,Hatchback,Diesel,113.0,110000.0,6111.111111111111,Maruti Swift Vdi BSIII,542.0,0.49,33291.18432,33291.18432,main,cars_with_price_est_20k.csv,Manual,2007.0,61.42284929889299,0.30264713018181816
112,13.0,Tata,Other,Petrol,114.0,50000.0,3846.153846153846,Tata Nano Lx BSIV,542.0,0.49,49195.008,49195.008,main,cars_with_price_est_20k.csv,Manual,2012.0,90.76569741697418,0.98390016
113,13.0,Toyota,Other,Diesel,115.0,100000.0,7692.307692307692,Toyota Innova 2.5 GX (Diesel) 8 Seater,542.0,0.49,52450.56,52450.56,main,cars_with_price_est_20k.csv,Manual,2012.0,96.77225092250922,0.5245056
114,9.0,Maruti,Other,Diesel,116.0,70000.0,7777.777777777777,Maruti Ertiga SHVS VDI,542.0,0.49,59187.744,59187.744,main,cars_with_price_est_20k.csv,Manual,2016.0,109.20247970479704,0.8455391999999999
115,9.0,Hyundai,Other,Diesel,117.0,70000.0,7777.777777777777,Hyundai Creta 1.6 CRDi SX,542.0,0.49,69632.64,69632.64,main,cars_with_price_est_20k.csv,Manual,2016.0,128.47350553505535,0.994752
116,9.0,Honda,Other,Petrol,118.0,50000.0,5555.555555555556,Honda Amaze S i-Vtech,542.0,0.49,72345.59999999999,72345.59999999999,main,cars_with_price_est_20k.csv,Manual,2016.0,133.47896678966788,1.4469119999999998
117,15.0,Tata,Other,Diesel,119.0,81000.0,5400.0,Tata Indica Vista Aqua 1.4 TDI,542.0,0.49,40543.60464,40543.60464,main,cars_with_price_est_20k.csv,Manual,2010.0,74.80369859778597,0.5005383288888888
118,13.0,Chevrolet,Other,Diesel,120.0,120000.0,9230.76923076923,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,542.0,0.49,50280.192,50280.192,main,cars_with_price_est_20k.csv,Manual,2012.0,92.7678819188192,0.41900160000000003
119,10.0,Chevrolet,Other,Diesel,121.0,3600.0,360.0,Chevrolet Cruze LTZ,542.0,0.49,74707.68384,74707.68384,main,cars_with_price_est_20k.csv,Manual,2015.0,137.83705505535056,20.7521344
